Cúmulo,RA,DEC
Pangui 1,31.30684267891039,65.54472227214829
Pangui 1,31.171027592756495,67.94761563531475
Pangui 1,30.37159560466113,68.90155534730066
Pangui 1,34.295241717240714,68.41533916311704
Pangui 1,31.735390842274935,64.44791810543911
Pangui 1,38.76817709294872,62.66451598121748
Pangui 1,29.446759603105317,69.60317633476775
Pangui 1,31.72827347747822,77.85001709640042
Pangui 1,31.40391393374985,65.00914074283078
Pangui 1,27.776377615257857,61.85723888901008
Pangui 1,34.61843701360266,63.80179715670314
Pangui 1,37.97026700069472,63.15384112414581
Pangui 1,32.15057567350934,63.60575004443273
Pangui 1,38.7057366043085,59.83016910637498
Pangui 1,30.587432447919266,69.20193064464351
Pangui 1,37.88682793164025,66.54773471423584
Pangui 1,40.22149566758285,62.42345910885759
Pangui 1,32.12807213288772,58.86207987048964
Pangui 1,35.980185845796576,61.82916035289451
Pangui 1,32.11776275040569,58.41438724820642
Pangui 1,39.07533517731537,68.65223682189915
Pangui 1,38.34446123151725,66.55766749421987
Pangui 1,34.93982568846167,66.7308510089343
Pangui 1,33.49848241101221,64.11235287551543
Pangui 1,34.67611328214913,64.44222782937898
Pangui 1,33.965201632278124,66.43914757327941
Pangui 1,41.835837638959156,66.04914154418935
Pangui 1,27.56258839224672,66.02495363687876
Pangui 1,35.305514680708306,60.91608921314194
Pangui 1,32.98095971796324,62.713465829132126
Pangui 1,34.54225192285976,68.64076435217288
Pangui 1,31.054350827936762,63.575514686863734
Pangui 1,42.852720746435395,72.9917593726871
Pangui 1,35.99423027199255,64.9167781112432
Pangui 1,24.27655482198104,71.00669261806202
Pangui 1,30.79316374354403,65.90710595186658
Pangui 1,39.648021877749464,65.34926903897535
Pangui 1,37.73366306175795,63.09100197673496
Pangui 1,35.812664900532106,66.01177605666352
Pangui 1,32.591010560208396,70.54203651583087
Pangui 1,32.733338444535434,70.03127524106623
Pangui 1,26.99004214638147,68.0265482279591
Pangui 1,29.050008489114788,72.30863256770056
Pangui 1,33.98065109030904,64.23317712975101
Pangui 1,30.109329343595938,60.545900193220746
Pangui 1,38.35339617140815,70.95460066268114
Pangui 1,35.15182020174899,65.42945278181838
Pangui 1,25.149083576374803,67.72543184763548
Pangui 1,34.383660222308166,67.8522483969588
Pangui 1,32.913284507156604,52.876945002230386
Pangui 1,24.24425658151339,58.740496837254184
Pangui 1,33.86743107787139,64.6543284147143
Pangui 1,36.18188838536032,65.36850846944427
Pangui 1,28.632867931641076,64.75838001832419
Pangui 1,43.97957315294334,60.182252918023906
