Cumulo,RA,DEC
Pangui 1,31.3068426789104,65.5447222721483
Pangui 1,31.1710275927565,67.9476156353148
Pangui 1,30.3715956046611,68.9015553473007
Pangui 1,34.2952417172407,68.415339163117
Pangui 1,31.7353908422749,64.4479181054391
Pangui 1,38.7681770929487,62.6645159812175
Pangui 1,29.4467596031053,69.6031763347678
Pangui 1,31.7282734774782,77.8500170964004
Pangui 1,31.4039139337499,65.0091407428308
Pangui 1,27.7763776152579,61.8572388890101
Pangui 1,34.6184370136027,63.8017971567031
Pangui 1,37.9702670006947,63.1538411241458
Pangui 1,32.1505756735093,63.6057500444327
Pangui 1,38.7057366043085,59.830169106375
Pangui 1,30.5874324479193,69.2019306446435
Pangui 1,37.8868279316403,66.5477347142358
Pangui 1,40.2214956675829,62.4234591088576
Pangui 1,32.1280721328877,58.8620798704896
Pangui 1,35.9801858457966,61.8291603528945
Pangui 1,32.1177627504057,58.4143872482064
Pangui 1,39.0753351773154,68.6522368218992
Pangui 1,38.3444612315173,66.5576674942199
Pangui 1,34.9398256884617,66.7308510089343
Pangui 1,33.4984824110122,64.1123528755154
Pangui 1,34.6761132821491,64.442227829379
Pangui 1,33.9652016322781,66.4391475732794
Pangui 1,41.8358376389592,66.0491415441894
Pangui 1,27.5625883922467,66.0249536368788
Pangui 1,35.3055146807083,60.9160892131419
Pangui 1,32.9809597179632,62.7134658291321
Pangui 1,34.5422519228598,68.6407643521729
Pangui 1,31.0543508279368,63.5755146868637
Pangui 1,42.8527207464354,72.9917593726871
Pangui 1,35.9942302719926,64.9167781112432
Pangui 1,24.276554821981,71.006692618062
Pangui 1,30.793163743544,65.9071059518666
Pangui 1,39.6480218777495,65.3492690389754
Pangui 1,37.733663061758,63.091001976735
Pangui 1,35.8126649005321,66.0117760566635
Pangui 1,32.5910105602084,70.5420365158309
Pangui 1,32.7333384445354,70.0312752410662
Pangui 1,26.9900421463815,68.0265482279591
Pangui 1,29.0500084891148,72.3086325677006
Pangui 1,33.980651090309,64.233177129751
Pangui 1,30.1093293435959,60.5459001932207
Pangui 1,38.3533961714082,70.9546006626811
Pangui 1,35.151820201749,65.4294527818184
Pangui 1,25.1490835763748,67.7254318476355
Pangui 1,34.3836602223082,67.8522483969588
Pangui 1,32.9132845071566,52.8769450022304
Pangui 1,24.2442565815134,58.7404968372542
Pangui 1,33.8674310778714,64.6543284147143
Pangui 1,36.1818883853603,65.3685084694443
Pangui 1,28.6328679316411,64.7583800183242
Pangui 1,43.9795731529433,60.1822529180239
Pangui 1,30.6763881323419,65.1598999726976
Pangui 1,31.9861295450082,68.1649243712034
Pangui 1,36.9655354519052,58.2136761197956
Pangui 1,34.8896616672912,63.5892429293479
Pangui 1,37.1672072643756,61.6984725439794
Pangui 1,31.2969007981161,69.4254277547715
Pangui 1,39.0548958913242,68.9548715785313
Pangui 1,33.7446181007084,64.9620370791336
Pangui 1,33.9240291612053,68.4667582528677
Pangui 1,38.734339921641,71.9685087470091
Pangui 1,32.2592959402022,74.5930674280062
Pangui 1,32.7363522773561,64.6283708588034
Pangui 1,31.8507101506469,70.1154495528658
Pangui 1,32.0506089753789,65.8362959801424
Pangui 1,31.0340349365422,63.1275310469628
Pangui 1,35.3692775627603,61.5451135583944
